episode,episode_reward,episode_steps,episode_success,episode_delay,total_samples,epsilon,loss,timestamp
437,-14.661449687722614,51,1,212.16632677253412,19411,0.4169,0.014897,2026-04-02 14:18:57
438,-5.205189229852088,13,1,104.37622139585856,19437,0.4161,0.069481,2026-04-02 14:18:57
439,-34.30287585347501,59,1,296.806824565237,19463,0.4152,0.081920,2026-04-02 14:18:57
440,-74.09922260416113,72,1,553.4732184265024,19485,0.4144,0.083894,2026-04-02 14:18:57
441,-19.556538479104486,12,1,166.1596149663929,19537,0.4136,0.229984,2026-04-02 14:18:58
442,-3.396318256445722,6,1,52.45227583689489,19539,0.4128,0.164620,2026-04-02 14:18:58
443,-25.53110529710265,35,1,144.08289941687136,19672,0.4119,0.129284,2026-04-02 14:18:59
444,-13.312606797150254,26,1,212.6256877472596,19674,0.4111,0.127390,2026-04-02 14:18:59
445,-2.8352872102532496,6,1,42.32507752292243,19728,0.4103,0.154273,2026-04-02 14:19:00
446,-40.46157522129342,42,1,245.23012229420152,19745,0.4095,0.131883,2026-04-02 14:19:00
447,-0.47190582625678135,3,1,27.445607817189988,19758,0.4087,0.014713,2026-04-02 14:19:00
448,-34.00550229250928,48,1,343.96854483111156,19927,0.4078,0.079832,2026-04-02 14:19:02
449,-19.69623511898647,33,1,290.3939818837375,19937,0.4070,0.051029,2026-04-02 14:19:02
450,-123.96587949999413,100,1,669.3608118190722,19945,0.4062,0.284187,2026-04-02 14:19:02
451,-150.24518217031812,152,1,1002.9686967772674,20117,0.4054,0.096127,2026-04-02 14:19:04
452,-27.40956909317079,31,1,238.43090290666842,20190,0.4046,0.254218,2026-04-02 14:19:05
453,-48.579125049183425,57,1,365.4097480566529,20216,0.4038,0.181905,2026-04-02 14:19:05
454,-46.59951061185126,88,1,419.350741050745,20236,0.4030,0.110477,2026-04-02 14:19:05
455,-2.3238015783791077,9,1,45.846653274997365,20314,0.4022,0.074745,2026-04-02 14:19:06
456,-23.937683815908755,36,1,197.10873575516095,20482,0.4014,0.099995,2026-04-02 14:19:08
457,-205.79021383059975,200,0,1216.353406431555,20531,0.4006,0.167482,2026-04-02 14:19:08
458,-0.2754537867172402,7,1,26.93927604703604,20544,0.3997,0.193782,2026-04-02 14:19:08
459,-75.44090193031343,94,1,477.5838001179495,20679,0.3989,0.135501,2026-04-02 14:19:10
460,-65.20589238121893,98,1,752.5011893996098,20727,0.3982,0.108051,2026-04-02 14:19:10
461,-12.804389859162475,24,1,221.23631491845458,20740,0.3974,0.346311,2026-04-02 14:19:10
462,-4.566442269243834,4,1,78.27591842406609,20764,0.3966,0.032003,2026-04-02 14:19:11
463,-24.26440941380786,29,1,181.90707564993002,20765,0.3958,0.088419,2026-04-02 14:19:11
464,-0.8600269439220637,12,1,49.83461818046118,20868,0.3950,0.238082,2026-04-02 14:19:12
465,-89.21610837417228,102,1,688.3099961466474,20926,0.3942,0.088808,2026-04-02 14:19:12
466,-30.715515121210032,39,1,263.3522784207734,20994,0.3934,0.036082,2026-04-02 14:19:13
467,-159.90575041121377,175,1,1089.9909599044004,21132,0.3926,0.135465,2026-04-02 14:19:14
468,-53.840390112948775,55,1,486.15318485053456,21206,0.3918,0.236243,2026-04-02 14:19:15
469,-15.980894423421933,26,1,146.36876882033522,21207,0.3910,0.107432,2026-04-02 14:19:15
470,-0.6429822921158289,9,1,29.98992443738723,21208,0.3903,0.109959,2026-04-02 14:19:15
471,-49.67946349254897,50,1,245.91969575950765,21268,0.3895,0.210518,2026-04-02 14:19:16
472,0.7900438059727535,4,1,17.72920470821773,21307,0.3887,0.199599,2026-04-02 14:19:16
